,Unnamed: 0,Easting Coord,Northing Coord,Depth,Standard Deviation 0.5,Standard Deviation 1,Standard Deviation 2,Standard Deviation 3,Mean 0.5,Mean 1,Mean 2,Mean 3,Dz 0.5,Dz 1,Dz 2,dz 3,Dp 1,Dp 2,Dp 3,Linearity,Planarity,Sphericity,Omnivariance,Anisotropy,Change of Curvature,Eigenentropy,Scattering,Label
17,17,299747.956,5994793.055,18.38,0.0523874454850057,0.0549085618652771,0.0396678298415026,0.0364864214257425,18.57777777777778,18.653953488372093,18.668274111675128,18.65429844097996,-0.120000000000001,-0.120000000000001,-0.120000000000001,-0.120000000000001,0.273992666247068,0.2881612393684918,0.2742619850214396,0.3602715827548047,0.6290353183151162,0.0106930989300791,0.115019515116676,0.9893069010699208,0.00647901086194,0.7035856562139347,0.0106930989300791,1.0
18,18,299812.682,5994430.719,18.57,0.0417133072292283,0.0406382749111612,0.0401551951619272,0.0831651302351874,18.62,18.6534,18.65965,18.640641592920357,0.0100000000000015,0.0100000000000015,0.129999999999999,0.4699999999999988,0.0818909132503904,0.0889105882670264,0.0768463630083715,0.2200574063505986,0.773409975644455,0.0065326180049462,0.0963207020750438,0.9934673819950538,0.0036567078917914,0.7071470727689568,0.0065326180049462,1.0
19,19,299818.27,5994412.04,18.56,0.0406065128875766,0.0329348970972814,0.0340172879488796,0.0361243323515608,18.564,18.584375,18.5981,18.600623608017816,0.0599999999999987,0.0599999999999987,0.0599999999999987,0.1600000000000001,0.0252246319723781,0.0384379741444718,0.0408385776609065,0.0858679717674205,0.9032259683258984,0.010906059906681,0.1118028672439643,0.989093940093319,0.0056653735704641,0.7231778366552629,0.010906059906681,1.0
20,20,299817.116,5994413.248,18.65,0.0190215189145915,0.0297857300785468,0.0354242442640801,0.0349172251753248,18.60727272727273,18.610208333333333,18.614615384615384,18.60889135254989,0.0799999999999983,0.0999999999999978,0.1499999999999985,0.25,0.0401095720444573,0.0351160899735987,0.0409792212012689,0.455771823522465,0.5415621607202674,0.0026660157572675,0.0731847571466582,0.9973339842427325,0.0017234635508043,0.6605069821981993,0.0026660157572675,1.0
21,21,299826.594,5994557.596,18.76,0.0499696877813911,0.0449156071394552,0.0405288648919606,0.0475309321393624,18.74333333333333,18.755294117647058,18.76098522167488,18.74488938053097,0.1000000000000014,0.1000000000000014,0.1000000000000014,0.2200000000000024,0.0054618191206827,0.0007938910348457,0.0149874207490938,0.2301405331302881,0.7686766378866187,0.0011828289830932,0.0547287510881898,0.9988171710169068,0.0006678716741339,0.6897623373514593,0.0011828289830932,1.0
22,22,299763.025,5994719.151,18.34,0.1550662940666203,0.1165242071065627,0.0656123880168532,0.0531898403741723,18.347,18.477021276595742,18.505743589743588,18.49271111111111,0.3200000000000003,0.3200000000000003,0.3200000000000003,0.3200000000000003,0.1460464129631873,0.1685606421451666,0.1538809506246252,0.4751691619124536,0.4378513180016558,0.0869795200858905,0.2217336001609239,0.9130204799141094,0.0539638671788031,0.8190599413717129,0.0869795200858905,1.0
23,23,299779.57,5994735.376,18.38,0.0210615703020869,0.0282285979371377,0.0323375388350821,0.0344523752677767,18.41538461538461,18.448979591836736,18.481940298507464,18.500835164835166,0.0,0.0,0.0,0.0,0.068806716662948,0.101966730566346,0.1208383170815068,0.0344974853037079,0.9617782052026456,0.0037243094936464,0.0777983969117266,0.9962756905063536,0.0018912547035705,0.7054311245887386,0.0037243094936464,1.0
24,24,299829.185,5994406.067,18.48,0.0347283832917768,0.0292145545247299,0.0261587760127379,0.0217451892184226,18.50333333333333,18.53843137254902,18.55623762376237,18.558444444444444,0.0199999999999995,0.0199999999999995,0.0199999999999995,0.0199999999999995,0.0585726488270665,0.0762178300392406,0.0784035013662105,0.2597898386607787,0.7372295913846783,0.0029805699545429,0.0746803846050301,0.9970194300454572,0.0017098358206223,0.6933984968313398,0.0029805699545429,1.0
25,25,299761.793,5994682.634,18.28,0.0296777564982463,0.0292639291794591,0.0255963545614249,0.028714477555376,18.30846153846154,18.32755102040816,18.33645,18.34573008849557,0.0199999999999995,0.0199999999999995,0.0199999999999995,0.0199999999999995,0.0471470368793234,0.0565747605724027,0.065766460254963,0.0380959179670512,0.9582834240966108,0.0036206579363378,0.0771189734855817,0.9963793420636622,0.0018420820978291,0.705121871197884,0.0036206579363378,1.0
26,26,299760.709,5994684.023,18.28,0.0133749350984928,0.0241870600950323,0.0305388787544318,0.0283995836346315,18.317,18.33617021276596,18.3498,18.35581291759465,-0.009999999999998,-0.009999999999998,0.0199999999999995,0.0199999999999995,0.0560332495806506,0.0695367162988986,0.0757362841104622,0.0799128848391772,0.9177372388089424,0.0023498763518802,0.0672624277644604,0.9976501236481196,0.0012223424550477,0.7008544677028179,0.0023498763518802,1.0
27,27,299783.584,5994750.298,18.5,0.1220610047840382,0.0967028120456658,0.0555189089070666,0.039151638273641,18.539,18.63914893617021,18.67475,18.66633333333333,0.1900000000000012,0.1900000000000012,0.1900000000000012,0.1900000000000012,0.1359691258403473,0.1764939946151571,0.1663049877970479,0.5549438324397715,0.4269382737136885,0.0181178938465399,0.1370497301260644,0.98188210615346,0.0123825963871451,0.6765165616689081,0.0181178938465399,1.0
28,28,299756.102,5994691.257,18.28,0.0225227158058865,0.0167768466951933,0.0183411975693439,0.0206891263844651,18.314545454545453,18.3265306122449,18.33080808080808,18.34088495575221,0.0100000000000015,0.0100000000000015,0.0100000000000015,0.0100000000000015,0.0467208547488553,0.0508179352218576,0.0608394249095454,0.4586200526900473,0.5402139149098263,0.0011660324001263,0.0556116963810951,0.9988339675998738,0.0007559141934592,0.6539039960528461,0.0011660324001263,1.0
29,29,299755.385,5994692.592,18.31,0.0130034960334095,0.0212768861056532,0.0235270881019083,0.0212223357822738,18.29909090909091,18.324117647058824,18.33768472906404,18.342522123893804,0.0299999999999975,0.0299999999999975,0.0399999999999991,0.0399999999999991,0.014440315819229,0.0276915014110272,0.032582628309683,0.050207782768614,0.948004533666746,0.0017876835646398,0.0611298618958423,0.9982123164353602,0.0009160186390066,0.6995045556883782,0.0017876835646398,1.0
30,30,299758.856,5994679.136,18.27,0.0320227192076898,0.0291460150977526,0.0226130191928408,0.025243099891672,18.33636363636364,18.365098039215688,18.36278048780488,18.354146341463416,-0.0300000000000011,-0.0300000000000011,-0.0300000000000011,0.009999999999998,0.0947619341604877,0.0927649781588115,0.0841458313079783,0.0434833508803408,0.949904169374428,0.0066124797452312,0.0942041630969964,0.9933875202547688,0.0033683366254438,0.71310599683924,0.0066124797452312,1.0
31,31,299754.378,5994784.689,18.44,0.0377576618137433,0.050157066227173,0.0401113713372251,0.0362886572960854,18.503846153846155,18.56734693877551,18.59535,18.591482300884955,0.0,0.0,0.0,0.0,0.1267026157438522,0.1555602245498448,0.1514389466174179,0.0337794050431635,0.9540248518595678,0.0121957430972686,0.115021006261203,0.9878042569027314,0.0061643966756076,0.7262434315969883,0.0121957430972686,1.0
32,32,299820.713,5994385.357,18.64,0.034603986727484,0.0306907440233613,0.0250889873536609,0.028768524571429,18.62846153846154,18.624489795918368,18.6287,18.629315673289184,0.0700000000000002,0.0700000000000002,0.0700000000000002,0.1999999999999993,0.014402698878257,0.0112621382631914,0.0107265556507627,0.0406260022498433,0.9556313382163614,0.0037426595337952,0.0780027618789475,0.9962573404662048,0.001906488603165,0.7054551848173835,0.0037426595337952,1.0
33,33,299772.842,5994711.354,18.32,0.0409267638593623,0.0389277863359783,0.0337248447650374,0.0328141649437015,18.3975,18.43745098039216,18.44608910891089,18.447433628318585,-0.009999999999998,-0.009999999999998,-0.009999999999998,-0.009999999999998,0.1164147323288489,0.1260964242537738,0.1275495282679913,0.2665957805016376,0.7250435235402298,0.0083606959581325,0.1050845994719017,0.9916393040418674,0.0048001288141352,0.7084198651608397,0.0083606959581325,1.0
34,34,299845.754,5994468.458,18.69,0.0158113883008414,0.0291235612208021,0.0235368115571502,0.0221922231309701,18.715,18.728,18.73973154362416,18.73026936026936,0.0,0.0199999999999995,0.0199999999999995,0.0199999999999995,0.0373480786656728,0.0511831691196675,0.0474595098530699,0.0803530141710633,0.9164502267443468,0.0031967590845899,0.0745017303191715,0.99680324091541,0.0016625163084864,0.7034202360982683,0.0031967590845899,1.0
35,35,299824.775,5994434.203,18.6,0.0400138864784604,0.023804761428476,0.0259150588385468,0.0233404604321604,18.567,18.571428571428573,18.56497487437186,18.56488938053097,0.1000000000000014,0.1000000000000014,0.1000000000000014,0.1000000000000014,0.0290569049393525,0.0345394016776481,0.0350227576927864,0.0679891814177409,0.929536754629167,0.002474063953092,0.0682933816888879,0.997525936046908,0.0012789264860263,0.7014401377559356,0.002474063953092,1.0
36,36,299830.288,5994378.613,18.58,0.0275262112847428,0.0246167431345658,0.0198493130528137,0.0253459376845692,18.64076923076923,18.659375,18.666683417085427,18.661305309734512,-0.0100000000000015,-0.0100000000000015,-0.0100000000000015,0.0199999999999995,0.0783641200396232,0.0867203632660675,0.0811594286496984,0.0393114135313136,0.9557829298199098,0.0049056566487766,0.0852967966924969,0.9950943433512232,0.0024957626254522,0.7086668933895283,0.0049056566487766,1.0
37,37,299768.598,5994704.236,18.43,0.0422385003177302,0.0378983603113078,0.0298373847625007,0.0268458803747426,18.4025,18.4062,18.423768844221105,18.42853982300885,0.1000000000000014,0.1099999999999994,0.1099999999999994,0.1099999999999994,0.0253411103039979,0.0062638771487399,0.0014320917707664,0.2386997134331324,0.7604571611072524,0.0008431254596152,0.0489524931268514,0.9991568745403848,0.0004784658580345,0.6877443337555738,0.0008431254596152,1.0
38,38,299801.868,5994515.141,18.61,0.0485985409433062,0.040662166256926,0.0300661372504796,0.0283611983727997,18.60272727272727,18.63529411764706,18.637149758454107,18.631438053097344,0.120000000000001,0.120000000000001,0.120000000000001,0.120000000000001,0.0258906327653676,0.0273643646760319,0.0214499306366633,0.0552738866793248,0.9270779556298052,0.0176481576908699,0.1301826948400414,0.98235184230913,0.0089932679772512,0.7378356841153793,0.0176481576908699,1.0
39,39,299828.369,5994373.901,18.54,0.0421900462194574,0.0366509770353677,0.0277096689079832,0.0232776605146179,18.56,18.593529411764703,18.61127450980392,18.61754424778761,0.0399999999999991,0.0399999999999991,0.0399999999999991,0.0399999999999991,0.052296176640084,0.0712653169903205,0.0775381086659763,0.0394526970723156,0.9580153154179484,0.002531987509736,0.0685049989205308,0.9974680124902638,0.0012898039941992,0.7019213099282224,0.002531987509736,1.0
40,40,299839.104,5994349.354,18.61,0.0350064929042387,0.0428055338185403,0.0331882991505628,0.0276978323985249,18.67363636363636,18.722745098039216,18.7315763546798,18.72522026431718,-0.0199999999999995,-0.0199999999999995,-0.0199999999999995,-0.0199999999999995,0.1123673687106929,0.1215392450831132,0.1151953781809425,0.0480202115536823,0.9368387052932158,0.0151410831531019,0.1237173221377894,0.984858916846898,0.0076970781875701,0.7326400729917412,0.0151410831531019,1.0
