,0,1,2,3,4,5,6
251,Manual MBES Boulder,300025.923,5992754.644,18.88,1.389,1.216,0.296
252,Manual MBES Boulder,298987.209,5992646.165,15.85,1.465,1.592,0.283
253,Manual MBES Boulder,300113.885,5992083.844,18.12,1.306,0.717,0.167
254,Manual MBES Boulder,298670.888,5992602.61,15.1,1.141,1.173,0.164
255,Manual MBES Boulder,301637.16,5993029.733,22.06,2.309,1.481,0.694
256,Manual MBES Boulder,299966.597,5993317.114,18.18,2.111,1.725,0.639
257,Manual MBES Boulder,299936.587,5993527.735,18.53,1.07,1.045,0.174
258,Manual MBES Boulder,301989.716,5993046.122,20.99,1.671,0.911,0.139
259,Manual MBES Boulder,299987.296,5992773.391,18.82,1.747,1.131,0.51
260,Manual MBES Boulder,300147.567,5991874.757,17.25,1.644,1.32,0.352
261,Manual MBES Boulder,298810.667,5992603.652,16.07,1.32,1.235,0.48
262,Manual MBES Boulder,298812.253,5992603.073,15.77,1.46,1.359,0.321
263,Manual MBES Boulder,300158.076,5991833.19,16.87,1.329,1.121,0.412
264,Manual MBES Boulder,300067.863,5992564.593,18.55,1.695,1.407,0.534
265,Manual MBES Boulder,300065.124,5992565.209,18.62,1.178,1.376,0.223
266,Manual MBES Boulder,302416.647,5993134.652,22.83,2.027,2.1,0.194
267,Manual MBES Boulder,300037.574,5992768.647,18.3,2.398,1.178,0.2
268,Manual MBES Boulder,300040.882,5992870.173,18.75,2.151,0.961,0.214
269,Manual MBES Boulder,300323.788,5990871.999,18.16,1.045,1.098,0.167
270,Manual MBES Boulder,300231.649,5991526.686,18.4,1.291,1.142,0.355
271,Manual MBES Boulder,302641.329,5993119.213,23.31,1.794,0.958,0.174
272,Manual MBES Boulder,300526.707,5992846.179,19.46,0.654,1.366,0.168
273,Manual MBES Boulder,299909.185,5993760.131,19.16,1.249,1.094,0.215
274,Manual MBES Boulder,298833.031,5992617.132,15.88,1.269,1.024,0.167
275,Manual MBES Boulder,298831.351,5992617.881,15.87,1.778,0.617,0.12
276,Manual MBES Boulder,300142.284,5991972.498,18.16,1.102,0.533,0.165
277,Manual MBES Boulder,300161.348,5992797.129,18.33,1.231,1.201,0.26
278,Manual MBES Boulder,300035.387,5992967.463,18.97,1.677,1.44,0.348
279,Manual MBES Boulder,300872.229,5992917.1,20.92,1.682,1.118,0.33
280,Manual MBES Boulder,300080.707,5992383.824,18.51,1.568,0.781,0.194
281,Manual MBES Boulder,303346.481,5993193.905,25.0,2.241,1.369,0.443
282,Manual MBES Boulder,298915.148,5992641.588,15.67,1.572,1.43,0.525
283,Manual MBES Boulder,298913.534,5992599.269,15.94,3.639,0.938,0.188
284,Manual MBES Boulder,300003.819,5992779.119,18.64,0.981,0.85,0.215
285,Manual MBES Boulder,300852.788,5992879.328,21.26,0.862,0.643,0.109
286,Manual MBES Boulder,300376.292,5992840.528,18.68,1.643,1.612,0.72
287,Manual MBES Boulder,300768.973,5992899.854,21.03,2.217,1.609,0.234
288,Manual MBES Boulder,299865.906,5994102.272,18.66,1.715,0.886,0.273
289,Manual MBES Boulder,299973.735,5993242.108,18.69,1.708,1.289,0.23
290,Manual MBES Boulder,299972.548,5993239.212,18.79,1.365,0.763,0.173
291,Manual MBES Boulder,300480.381,5992859.649,19.11,1.494,1.238,0.259
292,Manual MBES Boulder,299790.267,5994579.997,18.26,2.152,1.616,0.299
293,Manual MBES Boulder,299790.255,5994582.771,18.42,1.327,0.917,0.156
294,Manual MBES Boulder,298670.369,5992610.71,15.19,1.255,0.926,0.221
295,Manual MBES Boulder,299730.348,5995101.015,19.1,1.086,1.05,0.185
296,Manual MBES Boulder,302273.662,5993106.477,22.05,1.188,0.79,0.387
297,Manual MBES Boulder,300093.396,5992186.164,18.15,1.443,0.946,0.258
298,Manual MBES Boulder,299675.819,5995407.182,19.65,0.948,0.544,0.155
299,Manual MBES Boulder,300271.283,5991038.82,17.01,0.631,0.695,0.214
300,Manual MBES Boulder,300239.459,5991140.929,17.82,1.238,0.936,0.225
